left,right
3.1260000000000003,3.0723999999999996
3.128,3.0764
3.13,3.0804
3.133,3.0844000000000005
3.1353999999999997,3.0888000000000004
3.1367999999999996,3.093000000000001
3.1411999999999995,3.0970000000000004
3.1393999999999993,3.0986000000000002
3.132599999999999,3.0976
3.1261799999999993,3.0968
3.1197399999999993,3.096
3.1134799999999996,3.0952
3.1073999999999997,3.0946000000000002
3.101899999999999,3.0940000000000003
3.0961799999999995,3.0934000000000004
3.090439999999999,3.0928000000000004
3.0848799999999996,3.0922
3.079299999999999,3.0918
3.0738999999999987,3.0913999999999997
3.0686799999999983,3.0907999999999998
3.063639999999998,3.0904
3.058579999999998,3.0897999999999994
3.0538999999999974,3.0891999999999995
3.0491999999999972,3.0883999999999996
3.0448799999999974,3.0876
3.040339999999997,3.0866
3.0359799999999972,3.0855999999999995
3.031599999999997,3.0843999999999996
3.0273999999999965,3.0829999999999997
3.0231799999999964,3.0816
3.0189399999999966,3.0799999999999996
3.0146799999999967,3.0781999999999994
3.0103999999999966,3.0761999999999996
3.006099999999997,3.0739999999999994
3.001979999999997,3.071599999999999
2.9976399999999965,3.068999999999999
2.9930799999999973,3.066199999999999
2.9884999999999966,3.063199999999999
2.983899999999997,3.059799999999999
2.979099999999997,3.0561999999999987
2.9734999999999974,3.052199999999999
2.9676999999999976,3.047799999999999
2.961099999999998,3.042999999999999
2.953499999999998,3.0375999999999994
2.946499999999998,3.031999999999999
2.940899999999998,3.0257999999999994
2.9356999999999975,3.0193999999999988
2.9288999999999974,3.0127999999999986
2.9230999999999976,3.0061999999999984
2.9166999999999974,2.9991999999999983
2.9092999999999978,2.9921999999999986
2.9044999999999974,2.984999999999998
2.899899999999998,2.977599999999998
2.8934999999999973,2.970399999999998
2.888099999999998,2.9625999999999983
2.8812999999999978,2.955399999999998
2.8720999999999974,2.9485999999999977
2.8678999999999975,2.9441999999999977
2.871099999999997,2.9425999999999974
2.871919999999997,2.940999999999997
2.873959999999997,2.9395999999999973
2.8756199999999974,2.9381999999999975
2.8772999999999973,2.9369999999999976
2.8801999999999977,2.9357999999999977
2.8829199999999973,2.9345999999999974
2.885259999999998,2.933599999999997
2.888019999999998,2.932599999999997
2.890399999999998,2.931599999999997
2.8919999999999977,2.9305999999999965
2.8940199999999976,2.9297999999999966
2.8950599999999973,2.9289999999999967
2.8963199999999976,2.9281999999999972
2.898599999999998,2.9273999999999973
2.9006999999999983,2.9267999999999974
2.9020199999999985,2.926399999999997
2.903759999999999,2.9259999999999966
2.903919999999998,2.9255999999999966
2.905499999999998,2.9251999999999962
2.907699999999998,2.9249999999999967
2.9099199999999983,2.9249999999999967
2.9121599999999983,2.9251999999999962
2.914019999999999,2.9255999999999966
2.916299999999999,2.9261999999999966
2.918599999999999,2.9269999999999965
2.920919999999999,2.9277999999999964
2.923459999999999,2.9287999999999967
2.925819999999999,2.9297999999999966
2.927799999999999,2.930999999999997
2.929799999999999,2.932199999999997
2.931799999999999,2.933399999999997
2.934399999999999,2.934799999999997
2.936999999999999,2.9363999999999972
2.9401999999999986,2.938199999999997
2.9431999999999987,2.940199999999997
2.946199999999999,2.9423999999999975
2.949799999999999,2.944999999999997
2.9541999999999997,2.9475999999999978
2.9585999999999997,2.950199999999998
2.9632,2.9527999999999985
2.9676000000000005,2.9555999999999987
2.9726000000000004,2.958199999999999
2.9772000000000007,2.9607999999999985
2.9816000000000007,2.9635999999999982
2.9860000000000015,2.9661999999999984
2.9904000000000015,2.968999999999998
2.9968000000000012,2.971599999999998
3.0026000000000015,2.974199999999998
3.009800000000002,2.9767999999999977
3.0144000000000024,2.979199999999998
3.021200000000002,2.981599999999998
3.0268000000000024,2.983999999999998
3.033200000000002,2.986199999999998
3.0380000000000025,2.987599999999998
3.0402000000000027,2.9893999999999976
3.043200000000003,2.990999999999998
3.046200000000003,2.992399999999998
3.049200000000003,2.9935999999999985
3.0518000000000036,2.9949999999999988
3.0558000000000036,2.9963999999999995
3.059200000000004,2.9977999999999994
3.063600000000004,2.999199999999999
3.0670000000000037,3.000599999999999
3.0698000000000034,3.0021999999999984
3.0728000000000035,3.0037999999999987
3.076400000000004,3.004999999999999
3.079400000000004,3.006199999999999
3.083600000000004,3.0073999999999987
3.0860000000000043,3.008599999999999
3.0876000000000046,3.009399999999999
3.0890000000000044,3.009999999999999
3.0900000000000047,3.0101999999999993
3.0912000000000046,3.0101999999999993
3.091000000000004,3.009799999999999
3.0896000000000043,3.009199999999999
3.087800000000004,3.008599999999999
3.0870000000000046,3.0075999999999987
3.0840000000000045,3.0065999999999984
3.081400000000004,3.0053999999999985
3.079400000000004,3.004399999999998
3.076200000000004,3.003399999999998
3.074400000000004,3.002399999999998
3.074000000000004,3.001599999999998
3.0736000000000034,3.000999999999998
3.0744000000000034,3.0003999999999977
